top - 16:38:10 up  2:35,  1 user,  load average: 0,09, 0,06, 0,01
Tasks: 234 total,   1 running, 190 sleeping,   2 stopped,   0 zombie
%Cpu(s):  0,7 us,  0,2 sy,  0,0 ni, 98,7 id,  0,3 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem :  8165652 total,  5680604 free,  1280660 used,  1204388 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used.  6581552 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1936 vbub      20   0  451296  10344   8536 S   6,2  0,1   0:12.86 ibus-daem+
    1 root      20   0  225324   9180   6800 S   0,0  0,1   0:02.19 systemd
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/0+
    8 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 mm_percpu+
    9 root      20   0       0      0      0 S   0,0  0,0   0:00.06 ksoftirqd+
   10 root      20   0       0      0      0 I   0,0  0,0   0:01.47 rcu_sched
   11 root      rt   0       0      0      0 S   0,0  0,0   0:00.05 migration+
   12 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_inje+
   13 root      20   0       0      0      0 I   0,0  0,0   0:01.21 kworker/0+
   14 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_inje+
   17 root      rt   0       0      0      0 S   0,0  0,0   0:00.06 migration+
   18 root      20   0       0      0      0 S   0,0  0,0   0:00.06 ksoftirqd+
   20 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/1+
   21 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_inje+
   23 root      rt   0       0      0      0 S   0,0  0,0   0:00.04 migration+
   24 root      20   0       0      0      0 S   0,0  0,0   0:00.04 ksoftirqd+
   26 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/2+
   27 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kdevtmpfs
   28 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 netns
   29 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcu_tasks+
   30 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kauditd
   31 root      20   0       0      0      0 S   0,0  0,0   0:00.01 khungtaskd
   32 root      20   0       0      0      0 S   0,0  0,0   0:00.00 oom_reaper
   33 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 writeback
   34 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kcompactd0
   35 root      25   5       0      0      0 S   0,0  0,0   0:00.00 ksmd
   36 root      39  19       0      0      0 S   0,0  0,0   0:00.00 khugepaged
   37 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 crypto
   38 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kintegrit+
   39 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kblockd
   40 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 tpm_dev_wq
   41 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 ata_sff
   42 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 md
   43 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 edac-poll+
   44 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 devfreq_wq
   45 root      rt   0       0      0      0 S   0,0  0,0   0:00.00 watchdogd
   46 root      20   0       0      0      0 I   0,0  0,0   0:04.12 kworker/2+
   50 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kswapd0
   51 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/u+
   52 root      20   0       0      0      0 S   0,0  0,0   0:00.00 ecryptfs-+
  142 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kthrotld
  143 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 acpi_ther+
  144 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_0
  145 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 scsi_tmf_0
